PlaylistStandardizedNameMapID,PlaylistName,StandardizedName,Frequency
1,????,????,6210
2,Country,Country,5959
3,Christmas,Christmas,5199
4,Chill,Chill,5176
5,Rap,Rap,4963
6,Workout,Workout,4793
7,Rock,Rock,4725
8,Oldies,Oldies,4546
9,chill,Chill,4320
10,country,Country,3624
11,??????,????,3537
12,Worship,Worship,3253
13,oldies,Oldies,3233
14,Party,Party,3220
15,workout,Workout,3190
16,rap,Rap,3034
17,??,????,2954
18,Disney,Disney,2738
19,feels,Feels,2723
20,throwback,Throwback,2706
21,EDM,EDM,2593
22,Throwback,Throwback,2563
23,2017,2017,2474
24,jams,Jams,2399
25,new,New,2351
26,party,Party,2254
27,Summer,Summer,2204
28,Jams,Jams,2198
29,lit,Lit,2180
30,Running,Run,2156
31,Classic Rock,Classic Rock,2090
32,Music,Music,2084
33,summer,Summer,2037
34,Classics,Classics,2007
35,throwbacks,Throwback,1940
36,2016,2016,1910
37,New,New,1863
38,Dance,Dance,1798
39,sleep,Sleep,1784
40,vibes,Vibes,1759
41,Throwbacks,Throwback,1744
42,rock,Rock,1743
43,Pop,Pop,1712
44,80s,80s,1711
45,Gym,Workout,1707
46,90s,90s,1698
47,Christian,Christian,1665
48,Reggae,Reggae,1623
49,<3,<3,1616
50,Wedding,Wedding,1587
51,car,Car,1571
52,Sleep,Sleep,1568
53,Alternative,Alternative,1558
54,R&B,R&B,1557
55,Work,Work,1541
56,Feels,Feels,1541
57,80's,80s,1540
58,Random,Random,1525
59,music,Music,1521
60,worship,Worship,1500
61,Classical,Classical,1489
62,Vibes,Vibes,1405
63,christmas,Christmas,1371
64,shower ,Shower,1357
65,Road Trip,Car,1354
66,90's ,90s,1309
67,Spanish,Spanish,1300
68,Hip Hop,Hip Hop,1284
69,Old School,Old School,1278
70,Lit,Lit,1271
71,Relax,Relax,1267
72,Summer 2017,2017,1237
73,Run,Run,1235
74,hype,Hype,1220
75,2015,2015,1205
76,Love,Love,1162
77,sad,Sad,1159
78,running ,Run,1127
79,Jazz,Jazz,1118
80,Driving,Car,1103
81,Hype,Hype,1100
82,Study,Study,1085
83,classics,Classics,1079
84,Car,Car,1071
85,run,Run,1067
86,gym ,Workout,1042
87,Mix,Mix,1040
88,Halloween,Halloween,1004
89,Mellow,Mellow,980
90,idk,IDK,974
91,disney,Disney,972
92,Playlist,Music,965
93,Gospel,Gospel,965
94,random,Random,963
95,Summer 2016,2016,959
96,Indie,Indie,957
97,love,Love,931
98,work,Work,927
99,dance,Dance,920
100,Feel Good,Feel Good,904
101,pop,Pop,904
102,pregame,Pregame,903
103,Happy,Happy,880
104,jamz,Jams,880
105,playlist,Music,876
106,oldies but goodies ,Oldies,874
107,Classic,Classics,868
108,Acoustic,Acoustic,867
109,happy,Happy,845
110,road trip ,Car,842
111,Shower,Shower,832
112,mood,Mood,828
113,old school,Old School,816
114,Reggaeton,Reggae,813
115,Good Vibes,Vibes,812
116,Chillin,Chill,810
117,Dubstep,Dubstep,809
118,Drive ,Car,807
119,Roadtrip,Car,799
120,Pregame,Pregame,798
121,feel good,Feel Good,790
122,spanish ,Spanish,782
123,wedding,Wedding,782
124,Trap,Trap,775
125,relax,Relax,773
126,tbt,Throwback,767
127,chillin,Chill,763
128,2014,2014,758
129,Jamz,Jams,757
130,Metal,Metal,751
131,Summer 2015,2015,749
132,Salsa,Salsa,732
133,driving ,Car,729
134,Beach,Beach,725
135,Musicals,Musicals,724
136,study,Study,719
137,classic rock,Classic Rock,715
138,old,Oldies,689
139,litty,Lit,684
140,drive,Car,684
141,Instrumental,Instrumental,677
142,mellow,Mellow,677
143,mix,Mix,672
144,Covers,Covers,665
145,calm,Calm,663
146,House,House,662
147,Bachata,Bachata,660
148,good vibes,Vibes,658
149,????????,????,649
150,hip hop,Hip Hop,644
151,summer 17,2017,639
152,???,????,636
153,Soul,Soul,631
154,Fun,Fun,625
155,Electronic,Electronic,621
156,alternative,Alternative,620
157,summer 2017,2017,617
158,Banda ,Banda,614
159,Beats,Betas,608
160,roadtrip,Car,607
161,my music,Music,606
162,Stuff,Music,601
163,work out,Workout,600
164,Calm,Calm,599
165,Fire,Fire,597
166,beach,Beach,589
167,Mood,Mood,586
168,Eminem ,Eminem,586
169,CHRISTMAS,Christmas,583
170,Summer 2014,2014,582
171,classic ,Classics,577
172,Blues,Blues,574
173,Fall,Fall,574
174,Nostalgia,Nostalgia,570
175,My music,Music,570
176,2015 Top Tracks,2015,567
177,Bangers,Bangers,567
178,pump up,Pump Up,559
179,good,Music,556
180,car jams,Car,555
181,Sad,Sad,551
182,Slow,Slow,551
183,My Music,Music,550
184,tb,Throwback,550
185,stuff,Music,550
186,slow,Slow,547
187,trap,Trap,542
188,Oldies but Goodies ,Oldies,534
189,reggae,Reggae,533
190,fall,Fall,529
191,Fall 2016,2016,522
192,Spring 2017,2017,521
193,Mine,Music,520
194,2000s,2000s,519
195,LIT,Lit,518
196,Fall 2017,2017,514
197,Espa̱ol,Spanish,512
198,Upbeat,Upbeat,511
199,Jam,Jam,511
200,Old school,Old School,510
201,Summer 17,2017,506
202,good stuff,Music,505
203,fun,Fun,504
204,Love Songs,Love,502
205,classical,Classical,495
206,christian,Christian,494
207,indie,Indie,489
208,edm,EDM,489
209,good songs,Music,482
210,Work Out,Workout,482
211,TBT,Throwback,481
212,Punk,Punk,479
213,turn up,Turn Up,478
214,Alt,Alt,475
215,Chill Vibes ,Chill,470
216,Wedding Playlist,Wedding,468
217,chill vibes,Chill,467
218,tunes,Music,465
219,Funk,Funk,464
220,Drake,Drake,461
221,vibe,Vibe,461
